,Yıl,Senarist,Yapım
0,1998,Kandemir Konduk,Mahallenin Muhtarları
1,1999,Kandemir Konduk,Mahallenin Muhtarları
2,2000,Tayfun Güneyer,Yılan Hikayesi
3,2001,Kandemir Konduk,Ana Kuzusu
4,2012,Gülse Birsel,Yalan Dünya
5,2013,Ece Yörenç ve Melek Gençoğlu,Medcezir
6,2014,Eylem Canpolat ve Sema Ergenekon,Karadayı
7,2015,Ethem Özışık,Poyraz Karayel
8,2017,Nuran Evren Şit,Vatanım Sensin
9,2018,Ayşe Ferda Eryılmaz ve Nehir Erdem,Sen Anlat Karadeniz
10,2019,Deniz Akçay Katıksız,İstanbullu Gelin
11,2021,Berkun Oya,Bir Başkadır
12,2022,Sema Ergenekon,Yargı
13,2023,"Melis Civelek, Zeynep Gür",Kızılcık Şerbeti
